timestamp,Vb,Vs,Is,P,Ph
0,12.165,0.0012,0.0118,0.145,0.0
103,12.165,0.0012,0.0119,0.145,14.935
206,12.165,0.0012,0.0119,0.145,14.935
310,12.165,0.0012,0.012,0.145,15.08
413,12.165,0.0012,0.0118,0.1425,14.6775
516,12.165,0.0012,0.012,0.145,14.935
620,12.165,0.0012,0.0118,0.1425,14.82
723,12.165,0.0012,0.0119,0.145,14.935
828,12.165,0.0012,0.0119,0.145,15.225
934,12.165,0.0012,0.0119,0.145,15.37
1040,12.165,0.0012,0.012,0.145,15.37
1146,12.165,0.0012,0.0118,0.145,15.37
1252,12.165,0.0012,0.0119,0.145,15.37
1358,12.165,0.0012,0.0118,0.145,15.37
1464,12.165,0.0012,0.0119,0.145,15.37
1570,12.165,0.0012,0.0119,0.145,15.37
1676,12.165,0.0012,0.0118,0.145,15.37
1781,12.165,0.0012,0.0119,0.145,15.225
1886,12.165,0.0012,0.0118,0.145,15.225
1990,12.165,0.0012,0.0119,0.145,15.08
2095,12.165,0.0012,0.012,0.145,15.225
2200,12.165,0.0012,0.0119,0.145,15.225
2305,12.165,0.0012,0.012,0.145,15.225
2409,12.165,0.0012,0.0118,0.145,15.08
2514,12.165,0.0012,0.0119,0.145,15.225
2619,12.165,0.0012,0.0118,0.145,15.225
2723,12.165,0.0012,0.0119,0.145,15.08
2828,12.165,0.0012,0.012,0.145,15.225
2933,12.165,0.0012,0.0118,0.145,15.225
3037,12.165,0.0012,0.0119,0.145,15.08
3142,12.165,0.0012,0.0118,0.145,15.225
3247,12.165,0.0012,0.012,0.145,15.225
3351,12.165,0.0012,0.0119,0.145,15.08
3456,12.165,0.0012,0.0118,0.145,15.225
3561,12.165,0.0012,0.0119,0.145,15.225
3665,12.165,0.0012,0.0118,0.145,15.08
3770,12.165,0.0012,0.012,0.145,15.225
3875,12.165,0.0012,0.0119,0.145,15.225
3979,12.165,0.0012,0.0119,0.145,15.08
4084,12.165,0.0012,0.0119,0.145,15.225
4189,12.165,0.0012,0.0118,0.145,15.225
4293,12.165,0.0012,0.012,0.145,15.08
4398,12.165,0.0012,0.0118,0.1425,14.9625
4503,12.165,0.0012,0.012,0.145,15.225
4607,12.165,0.0012,0.0119,0.145,15.08
4712,12.165,0.0012,0.0119,0.145,15.225
4816,12.165,0.0012,0.0119,0.145,15.08
4921,12.165,0.0012,0.0118,0.145,15.225
5026,12.165,0.0012,0.012,0.145,15.225
5131,12.165,0.0012,0.0119,0.145,15.225
5235,12.165,0.0012,0.012,0.145,15.08
5340,12.165,0.0012,0.0119,0.145,15.225
5444,12.165,0.0012,0.0118,0.145,15.08
5549,12.165,0.0012,0.0119,0.145,15.225
5654,12.165,0.0012,0.0119,0.145,15.225
5758,12.165,0.0012,0.0119,0.145,15.08
5863,12.165,0.0012,0.0119,0.145,15.225
5968,12.165,0.0012,0.0118,0.145,15.225
6072,12.165,0.0012,0.0119,0.145,15.08
6177,12.165,0.0012,0.0118,0.145,15.225
6282,12.165,0.0012,0.0119,0.145,15.225
6387,12.165,0.0012,0.0119,0.145,15.225
6491,12.165,0.0012,0.0119,0.145,15.08
6596,12.165,0.0012,0.0119,0.145,15.225
6701,12.165,0.0012,0.0118,0.145,15.225
6805,12.165,0.0012,0.0119,0.145,15.08
6910,12.165,0.0012,0.0119,0.145,15.225
7015,12.165,0.0012,0.0119,0.145,15.225
7120,12.165,0.0012,0.012,0.145,15.225
7224,12.165,0.0012,0.0118,0.145,15.08
7329,12.165,0.0012,0.0119,0.145,15.225
7434,12.165,0.0012,0.0118,0.1425,14.9625
7538,12.165,0.0012,0.0119,0.145,15.08
7643,12.165,0.0012,0.012,0.145,15.225
7748,12.165,0.0012,0.0118,0.145,15.225
7853,12.165,0.0012,0.0119,0.145,15.225
7957,12.165,0.0012,0.0118,0.145,15.08
8062,12.165,0.0012,0.0119,0.145,15.225
8166,12.165,0.0012,0.0119,0.145,15.08
8271,12.165,0.0012,0.0118,0.1425,14.9625
