timestamp,Vb,Vs,Is,P,Ph
0,12.17,0.0009,0.0092,0.1125,0.0
103,12.17,0.0009,0.0092,0.1125,11.5875
205,12.17,0.0009,0.0092,0.1125,11.475
308,12.17,0.0009,0.0092,0.1125,11.5875
410,12.17,0.0009,0.0092,0.1125,11.475
513,12.17,0.0009,0.0092,0.1125,11.5875
615,12.17,0.0009,0.0092,0.1125,11.475
717,12.17,0.0009,0.0092,0.1125,11.475
820,12.17,0.0009,0.0092,0.1125,11.5875
923,12.17,0.0009,0.0092,0.1125,11.5875
1025,12.17,0.0009,0.0092,0.1125,11.475
1128,12.17,0.0009,0.0092,0.1125,11.5875
1231,12.17,0.0009,0.0092,0.1125,11.5875
1334,12.17,0.0009,0.0092,0.1125,11.5875
1436,12.17,0.0009,0.0092,0.1125,11.475
1539,12.17,0.0009,0.0092,0.1125,11.5875
1642,12.17,0.0009,0.0092,0.1125,11.5875
1744,12.17,0.0009,0.0092,0.1125,11.475
1847,12.17,0.0009,0.0092,0.1125,11.5875
1950,12.17,0.0009,0.0092,0.1125,11.5875
2053,12.17,0.0009,0.0092,0.1125,11.5875
2155,12.17,0.0009,0.0092,0.1125,11.475
2258,12.17,0.0009,0.0092,0.1125,11.5875
2361,12.17,0.0009,0.0092,0.1125,11.5875
2464,12.17,0.0009,0.0092,0.1125,11.5875
2566,12.17,0.0009,0.0092,0.1125,11.475
2669,12.17,0.0009,0.0092,0.1125,11.5875
2772,12.17,0.0009,0.0092,0.1125,11.5875
2874,12.17,0.0009,0.0092,0.1125,11.475
2977,12.17,0.0009,0.0092,0.1125,11.5875
3080,12.17,0.0009,0.0092,0.1125,11.5875
3183,12.17,0.0009,0.0092,0.1125,11.5875
3285,12.17,0.0009,0.0092,0.1125,11.475
3388,12.17,0.0009,0.0092,0.1125,11.5875
3491,12.17,0.0009,0.0092,0.1125,11.5875
3594,12.17,0.0009,0.0092,0.1125,11.5875
3697,12.17,0.0009,0.0092,0.1125,11.5875
3800,12.17,0.0009,0.0092,0.1125,11.5875
3903,12.17,0.0009,0.0092,0.1125,11.5875
4005,12.17,0.0009,0.0092,0.1125,11.475
4108,12.17,0.0009,0.0092,0.1125,11.5875
4211,12.17,0.0009,0.0092,0.1125,11.5875
4314,12.17,0.0009,0.0092,0.1125,11.5875
4416,12.17,0.0009,0.0092,0.1125,11.475
4519,12.17,0.0009,0.0092,0.1125,11.5875
4622,12.17,0.0009,0.0092,0.1125,11.5875
4725,12.17,0.0009,0.0092,0.1125,11.5875
4828,12.17,0.0009,0.0092,0.1125,11.5875
4931,12.17,0.0009,0.0092,0.1125,11.5875
5034,12.17,0.0009,0.0092,0.1125,11.5875
5137,12.17,0.0009,0.0092,0.1125,11.5875
5240,12.17,0.0009,0.0092,0.1125,11.5875
5343,12.17,0.0009,0.0092,0.1125,11.5875
5446,12.17,0.0009,0.0092,0.1125,11.5875
5549,12.17,0.0009,0.0092,0.1125,11.5875
5652,12.17,0.0009,0.0091,0.11,11.33
5755,12.17,0.0009,0.0091,0.11,11.33
5858,12.17,0.0009,0.0091,0.11,11.33
5961,12.17,0.0009,0.0091,0.11,11.33
6064,12.17,0.0009,0.0091,0.11,11.33
6167,12.17,0.0009,0.0091,0.1125,11.5875
6270,12.17,0.0009,0.0091,0.11,11.33
6373,12.17,0.0009,0.009,0.11,11.33
6476,12.17,0.0009,0.009,0.11,11.33
